[iTC_CC_ATP-SwRS-0053] On initialization, ATP generates TrainType according to DataPlugContent.CCTrainType from the CC data plug.	ATP ; TrainType ; DataPlugContent.CCTrainType ; CC data plug	<system> <variable> <variable> <interface>	1 0 0  ; 2 0 3 ; 2 1 1	def <variable_1>(k): return <variable_2>	1 2 7 4 -1
[iTC_CC_ATP-SwRS-0054] On initialization, ATP generates CoreId according to DataPlugContent.CCCoreId read from the CC data plug.	ATP ; CoreId ;  DataPlugContent.CCCoreId ; CC data plug	<system> <variable> <variable> <interface>	1 0 0 ; 2 0 3 ; 2 1 1	def <variable_1>(k): return <variable_2>	1 2 7 4 -1
[iTC_CC_ATP-SwRS-0613] OtherCoreId, core id for CC on the distant cab.	OtherCoreId ;  CC ; cab	<variable> <system> <hardware>	0 0 1 ; 2 5 1	def <variable_0>(k): if (CoreId(k) is END_1):  return END_2 elif (CoreId(k) is END_2):  return END_1 else:  return None	3 -1 3 -1 3 -1
[iTC_CC_ATP-SwRS-0055] On initialization, ATP generates SubSystemId according to DataPlugContent.CC_SSID from the CC data plug.	ATP ; SubSystemId ; DataPlugContent.CC_SSID ; CC data plug	<system> <variable> <variable> <interface>	1 0 0 ; 2 0 3 ; 2 1 1	def <variable_1>(k): return <variable_2>	1 2 4 7 -1
[iTC_CC_ATP-SwRS-0059] After all above-mentioned information has corrected, and correspondingly, ATP will generate TrainKnown information. If TrainKnown considered as False, ATP shall set all output ports as restricted.	ATP ; TrainKnown ;  False ; output ports	<system> <variable> <constant> <interface>	1 0 0 ; 2 2 1 ; 0 5 3 ; 3 1 1	def <variable_1>(k): return ((TrainType(k) == ATPsetting.TrainTypeId) and (CoreId(k) is END_1 or CoreId(k) is END_2) and IdenticalVersionOfDualCPU(k))	1 4 -1
[iTC_CC_ATP-SwRS-0125] Through the communication with CCNV, ATP judges NonVitalRequest received from CCNV and generates NonVitalRequestReady If received a new message.	CCNV ; ATP ; NonVitalRequest ; NonVitalRequestReady	<system> <system> <variable> <variable>	0 3 1 ; 2 0 0 ; 3 0 1 ; 2 1 3	def <variable_3>(k): return Message.Exists(<variable_2>)	3 2 8 4 -1
[iTC_CC_ATP-SwRS-0126] ATOcontrolTimeValid stands for the effectiveness of CCNV message. If there is no updating CCNV message past the CCNV_VALIDITY_CYCLES, ATOcontrolTimeValid is set as False.	ATOcontrolTimeValid ; CCNV ; CCNV message ; CCNV_VALIDITY_CYCLES ; False	<variable> <system> <message> <statevariable> <constant>	0 6 2 ; 4 2 0 ; 2 1 0 ; 2 6 3	def <variable_0>(k): if (NonVitalRequestReady(k)):  <variable_0>= True  ATOcontrolTimer = 0 elif (ATOcontrolTimer(k-1) < <statevariable_3>):  ATOcontrolTimer = ATOcontrolTimer(k-1) + 1 else:  <variable_0>= <constant_4> return <variable_0>	0 3 4 7 5 -1
[iTC_CC_ATP-SwRS-0468] VIOM1VitalInputsReceived, ATP determines whether received a safety input message from VIOM1.	ATP ; safety input message ; VIOM1 ; VIOM1VitalInputsReceived	<system> <message> <interface><variable>	0 3 2 ; 1 0 2 ; 3 1 0	def <variable_3>(viomId, k): return Message.Received(VIOM1VitalInput(viomId), k)	3 4 -1
[iTC_CC_ATP-SwRS-0060] Through the communication, ATP gets the vital input message from VIOM1 and decides the time effectiveness and the correctness of the sequence of the message, which defined as VIOM1VitalInputsAvailable.	ATP ; VIOM1 ; time effectiveness ; correctness ; VIOM1VitalInputsAvailable ; vital input message	<system> <interface> <otheritem> <otheritem> <variable> <message>	0 3 1 ;  2 7 3 ; 0 1 2 ; 0 1 3 ; 4 4 5 ; 5 0 1	def <variable_4>(ViomId, k): return Message.Available(VIOM1VitalInputsReceived(ViomId, k), VIOM1VitalInput(ViomId).AtpLoopHour, VIOM_VALIDITY_TIME, VIOM1VitalInputsLastAge(ViomId, k-1), k)	4 6 -1
[iTC_CC_ATP-SwRS-0740] VIOM1VitalInputsLastAge, records the survival time of received vital inputs from VIOM1.	 survival time ; VIOM1 ; vital inputs ; VIOM1VitalInputsLastAge	<time> <interface> <otheritem> <variable>	0 0 1 ; 2 9 0 ; 3 4 0	def <variable_3>(ViomId, k): return Message.LastAge(VIOM1VitalInputsAvailable(ViomId, k), VIOM1VitalInput(ViomId).AtpLoopHour <variable_3>(ViomId, k-1), k)	3 4 -1
[iTC_CC_ATP-SwRS-0572] ATP records the latest cycle time information of VIOM in END_1 by the term LatestVIOM1LoopHourVIOM. In initialization, set LatestVIOM1LoopHourVIOM as the zero; If receiving an available VIOM1 message, or a new message and the previous one has invalid, ATP will set the related value of LatestVIOM1LoopHourVIOM as the viomLoopHour of the message. Otherwise, LatestVIOM1LoopHourVIOM keeps unchanged.	ATP ; cycle time ; VIOM ; END_1 ; LatestVIOM1LoopHourVIOM ; zero ; VIOM1 message ; viomLoopHour ; invalid	<system> <time> <interface> <statevariable> <variable> <constant> <message> <variable> <state>	1 0 2 ; 0 8 1 ; 4 8 1 ; 1 0 3 ; 5 2 4 ; 6 1 3 ; 7 1 4 ; 8 6 4	def <variable_4>(ViomId, k): if (VIOM1VitalInputsAvailable(k) or (not VIOM1VitalInputsValid(k-1) and VIOM1VitalInputsReceived(ViomId, k))):  return VIOM1VitalInput[ViomId].<variable_7>else:  return <variable_4>[ViomId](k-1)	4 7 15 9 -1
